City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
173,Afaahiti,PF,-17.75,-149.2833,76.87,84,100,15.19,moderate rain
174,Lospalos,TL,-8.5186,127.0025,75.25,89,100,1.39,overcast clouds
175,Al Bayḑā’,LY,32.7627,21.7551,53.17,69,100,11.92,overcast clouds
176,Labasa,FJ,-16.4167,179.3833,75.42,90,99,5.35,overcast clouds
177,Villa Gesell,AR,-37.2639,-56.973,71.06,60,100,15.3,overcast clouds
178,Santa Cruz de la Sierra,BO,-17.8,-63.1667,93.25,43,20,17.27,few clouds
179,Christchurch,NZ,-43.5333,172.6333,66.4,56,79,3.44,broken clouds
180,Humaitá,BR,-7.5061,-63.0208,94.78,46,96,1.39,overcast clouds
181,Poronaysk,RU,49.2167,143.1167,17.38,80,61,9.06,broken clouds
182,Yarmouth,US,41.7057,-70.2286,50.97,80,0,6.91,clear sky
183,Evansville,US,37.9748,-87.5558,65.01,82,100,9.22,drizzle
184,La Rinconada,ES,37.4873,-5.9826,66.33,72,0,0.0,clear sky
185,Lüderitz,,-26.6481,15.1594,70.38,57,100,26.98,overcast clouds
186,Distrikt Brokopondo,SR,4.75,-55.1667,86.32,57,63,2.59,broken clouds
187,Touros,BR,-5.1989,-35.4608,84.79,58,83,15.59,broken clouds
188,Wiltz,LU,49.9689,5.9319,44.35,94,100,15.82,moderate rain
189,Tirana,AL,41.3275,19.8189,41.88,75,0,4.61,clear sky
190,Pitkyaranta,RU,61.5734,31.4792,11.52,93,100,14.25,overcast clouds
191,Nungwi,TZ,-5.7265,39.2987,82.36,77,99,12.68,overcast clouds
192,Jiayuguan City,CN,39.8167,98.3,28.04,36,100,3.06,overcast clouds
193,San Francisco,US,37.7749,-122.4194,53.02,72,75,7.0,broken clouds
194,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,23.45,76,75,18.99,broken clouds
195,Bengkulu,ID,-3.8004,102.2655,75.88,90,99,3.29,overcast clouds
196,Opole Voivodeship,PL,50.5,18.0,33.4,88,99,12.17,overcast clouds
197,East London,ZA,-33.0153,27.9116,59.94,100,100,14.97,mist
198,Montepuez,MZ,-13.1256,38.9997,79.39,64,79,5.93,broken clouds
199,Cockburn Town,TC,21.4612,-71.1419,78.93,79,79,23.58,light rain
200,Taroa,MH,8.7058,171.2275,81.79,75,100,16.33,overcast clouds
201,Mossamedes,AO,-15.1961,12.1522,75.94,77,99,10.63,overcast clouds
202,Homer,US,59.6425,-151.5483,28.27,93,75,12.66,snow
203,Kumul,CN,42.8,93.45,30.87,41,100,4.27,overcast clouds
204,Chhor,PK,25.5167,69.7667,71.89,20,30,6.87,scattered clouds
205,Arkhangelsk,RU,64.5401,40.5433,-3.87,83,20,8.95,few clouds
206,Kill Devil Hills,US,36.0307,-75.676,68.0,65,0,10.36,clear sky
207,Miles City,US,46.4083,-105.8406,31.17,86,100,6.91,mist
208,Flying Fish Cove,CX,-10.4217,105.6791,76.68,88,75,8.05,broken clouds
209,Mawlamyinegyunn,MM,16.3833,95.2667,75.78,92,2,5.32,clear sky
210,Ha'il,SA,27.5219,41.6907,71.62,46,0,6.91,clear sky
211,San José del Guaviare,CO,2.5729,-72.6459,85.05,73,97,4.41,overcast clouds
212,Andkhōy,AF,36.9529,65.1238,47.7,50,3,7.47,clear sky
213,Natal,BR,-5.795,-35.2094,86.65,62,40,14.97,scattered clouds
214,Muroto-misakicho,JP,33.2833,134.15,61.43,73,94,6.93,overcast clouds
215,Khandyga,RU,62.6667,135.6,-24.48,99,100,2.82,light snow
216,Bintulu,MY,3.1667,113.0333,79.21,94,40,4.61,light rain
217,Kailua-Kona,US,19.6406,-155.9956,69.76,74,0,4.0,clear sky
218,Preobrazheniye,RU,42.9019,133.9064,20.35,42,0,9.04,clear sky
219,San José del Cabo,MX,23.0589,-109.6977,79.5,65,0,11.5,clear sky
220,Ambikāpur,IN,23.1167,83.2,58.62,65,0,2.68,clear sky
221,Ola,RU,59.5833,151.2833,21.22,93,100,10.65,light snow
222,Udachny,RU,66.4167,112.4,-21.66,96,100,6.11,overcast clouds
223,Le Port,RE,-20.9373,55.2919,80.6,100,36,4.0,scattered clouds
